CAMIS,DBA,CUISINE.DESCRIPTION,full.address
41505645,GOOD CHINESE RESTAURANT,Chinese,"knickerbocker avenue 663 , NY, US"
50004308,KFC,American,"queens blvd 5717 , NY, US"
41639970,VIVI BUBBLE TEA,Chinese,"west   23 street 170 , NY, US"
40536785,CONNECTICUT MUFFIN,Caf̩/Coffee/Tea,"7 avenue 171 , NY, US"
41625323,GOODFELLA'S GRILL (CLINTON DINER),American,"maspeth avenue 5626 , NY, US"
40366132,DENINO'S PIZZERIA TAVERN,Pizza/Italian,"port richmond avenue 524 , NY, US"
41343933,ASIA PALACE,Jewish/Kosher,"new utrecht ave 4813 , NY, US"
41617766,CHINA HOUSE CHINESE RESTAURANT,Chinese,"madison avenue 1624 , NY, US"
41535441,MAJESTIC DELICATESSEN CAFE,American,"west   50 street 200 , NY, US"
41573408,LAUT,Thai,"east   17 street 15 , NY, US"
40364715,OLD HOMESTEAD,American,"9 avenue 56 , NY, US"
41151265,DELROY'S CAFE,Caribbean,"duryea place 14 , NY, US"
41647862,KING BARKA JAMAICAN & AMERICAN RESTAURANT,Caribbean,"boston rd 3377 , NY, US"
41576098,JR PRIMOS RESTAURANT,Spanish,"allerton avenue 698 , NY, US"
50018660,JUICE AMMIEL,"Juice, Smoothies, Fruit Salads","throop ave 563 , NY, US"
41720069,D'ANGELO'S PIZZA,Pizza/Italian,"queens boulevard 11807 , NY, US"
50039632,YAHOO NYC CAFE,American,"w 43rd st 229 , NY, US"
41328070,VILLABATE-ALBA PASTICCERIA,Bakery,"18 avenue 7001 , NY, US"
41586672,M-THAI,Thai,"8 avenue 200 , NY, US"
41690659,NEW PANDA GARDEN,Chinese,"roosevelt avenue 5917 , NY, US"
40513059,LOS ANGELES BAKERY,Bakery,"flushing avenue 729 , NY, US"
41324599,PHILLIP MORRIS INTERNATIONAL,American,"park avenue 120 , NY, US"
40365098,FORLINIS RESTAURANT,Italian,"baxter street 93 , NY, US"
40551234,THE GIN MILL,American,"amsterdam avenue 442 , NY, US"
50040772,PHAYUL HIMALAYAN RESTAURANT,Chinese/Japanese,"northern blvd 8917 , NY, US"
41349736,THE GRISLY PEAR,American,"macdougal street 107 , NY, US"
40561796,CAFE BAR,Mediterranean,"36 street 3290 , NY, US"
41436770,PIZZA HAVEN,Pizza,"broadway 4942 , NY, US"
41705790,CHICKPEA,Mediterranean,"28 street 4209 , NY, US"
41142962,STARBUCKS,Caf̩/Coffee/Tea,"delancey street 80 , NY, US"
41648141,NEW ASIA,Chinese,"amsterdam avenue 666 , NY, US"
50000973,LULA BAGEL,Caf̩/Coffee/Tea,"nostrand ave 816 , NY, US"
40974031,CECI RESTAURANT,Spanish,"sherman avenue 78 , NY, US"
41165361,BLT STEAK,Steak,"east 57 street 106 , NY, US"
40782999,WENDY'S,Hamburgers,"richmond hill road 26 , NY, US"
41454767,OLD FULTON RESTAURANT,Italian,"old fulton street 7 , NY, US"
41623049,COFFEE SHOP,Caf̩/Coffee/Tea,"west   32 street 28 , NY, US"
41387641,BI WON,Korean,"springfield boulevard 6158 , NY, US"
50006542,NO. 1 CHINESE RESTAURANT,Chinese,"ditmas ave 420 , NY, US"
41489344,2 BROS PIZZA,Pizza,"west   46 street 31 , NY, US"
41630942,SUSHI-TERIA,Japanese,"lexington avenue 601 , NY, US"
41377915,CHORSU SAMARKANDA,Eastern European,"kings highway 461 , NY, US"
41503136,THE HILLS RESTAURANT AND BAR,Caribbean,"church avenue 4706 , NY, US"
41263597,PATRIZIA'S,Italian,"broadway 35 , NY, US"
41635602,EL PICOSITO BAR LOUNGE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","roosevelt avenue 8103 , NY, US"
50036893,GIZI  WINE CHEESE AND  CHOCOLATE,American,"vernon blvd 4734 , NY, US"
50039223,HALAL GYRO MANIA,Mediterranean,"bath ave 2151 , NY, US"
40864145,TIMES DELI & CAFE,Delicatessen,"west 44 street 158 , NY, US"
50004505,RED STAR,Chinese,"acp jr blvd 2060 , NY, US"
41131167,JOEY'S PIZZERIA,Pizza/Italian,"grand avenue 6907 , NY, US"
41554263,POPEYES LOUISIANA KITCHEN,Chicken,"hillside avenue 19702 , NY, US"
41478388,18 RESTAURANT,Jewish/Kosher,"east   81 street 240 , NY, US"
50006310,CLAW DADDY'S,Seafood,"orchard st 185 , NY, US"
40932233,CELESTE,Italian,"amsterdam avenue 502 , NY, US"
41709869,DINOSAUR BAR-B-QUE,Barbecue,"union street 604 , NY, US"
40799203,ELLA KITCHEN,Mediterranean,"columbus avenue 249 , NY, US"
50052209,22 STR CONCESSION STAND,American,"w 21st st 3052-3078 , NY, US"
40851852,MOZZARELLA & VINO,Italian,"west   54 street 33 , NY, US"
41691085,COFFEED,Caf̩/Coffee/Tea,"northern boulevard 3718 , NY, US"
50006264,BUNNA CAFE,Ethiopian,"flushing ave 1084 , NY, US"
41464967,OAXACA MEXICAN GRILL,Mexican,"park avenue 245 , NY, US"
41212804,PLAYSTATION THEATER,American,"broadway 1515 , NY, US"
50001146,THE HEIGHTS BAR & RESTAURANT,Spanish,"audubon ave 203 , NY, US"
41621809,HJ'S COFFEE SHOP,American,"astoria boulevard 3801 , NY, US"
50010598,VILLA,Pizza/Italian,"richmond ave 2655 , NY, US"
50047096,MIMO'S PIZZA,Pizza,"18th ave 7203 , NY, US"
50054802,NA,Other,"pearl st 164 , NY, US"
40905068,NO 32,American,"east    2 street 32 , NY, US"
41191695,EAST VILLAGE CAFE,American,"avenue b 212 , NY, US"
40925558,PRET A MANGER,Sandwiches,"park avenue 400 , NY, US"
40388194,SOB's,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","varick street 200 , NY, US"
50000695,JOE'S SHANGHAI RESTAURANT,Chinese,"37th ave 13621 , NY, US"
50016799,PIURA,Peruvian,"bell blvd 3932 , NY, US"
50010178,LA CARBORNARA,Italian,"w 14th st 202 , NY, US"
50013833,CURRY KABAB,Pakistani,"starling ave 2165 , NY, US"
41292678,BOCCA DI BACCO,Italian,"9 avenue 828 , NY, US"
41240513,CHINA GARDEN CHINESE RESTAURANT,Chinese,"kew gardens road 8045 , NY, US"
41700054,SASABUNE EXPRESS NEW YORK,Japanese,"east   59 street 322 , NY, US"
40524778,MCQUAIDS PUBLIC HOUSE,American,"11 avenue 589 , NY, US"
41660507,HARRY'S ITALIAN,Italian,"murray st 225 , NY, US"
41225222,DISHES,American,"park avenue 399 , NY, US"
50001976,TROPICAL ISLE CARRIBEAN RESTAURANT,Caribbean,"liberty avenue 118-19 , NY, US"
41538850,PEE DEE STEAK,American,"3 avenue 2006 , NY, US"
41448361,PATISSERIE DES AMBASSADES,French,"frederick douglass boulevard 2200 , NY, US"
41321647,PARK AVENUE LUNCHEONETTE,Spanish,"park avenue 131 , NY, US"
50017266,ALL ABOUT INDIAN FOOD,Indian,"bushwick ave 443 , NY, US"
50044055,LA CARIDAD 78,Chinese/Cuban,"broadway 2199 , NY, US"
40373118,GOLDEN DOVE DINER,American,"richmond avenue 3281 , NY, US"
40933602,PIZZA PETE'S,Pizza,"columbus avenue 528 , NY, US"
41704908,GREEN SKY RESTAURANT,Chinese,"knickerbocker avenue 344 , NY, US"
50006597,BREEZYDOGS SHAKES AND MORE,American,"beach 129th st 410 , NY, US"
41004963,CHIPOTLE MEXICAN GRILL,Mexican,"west   34 street 304 , NY, US"
40965172,L'AILE OU LA CUISSE (L'A.O.C),French,"bleecker st 314 , NY, US"
50009140,LIC LANDING BY COFFEED,American,"center blvd 5210 , NY, US"
41391463,BOBBY VAN'S GRILL,American,"jfk int'l airport 0 , NY, US"
40885478,ROCA TONE SEAFOOD RESTAURANT,Caribbean,"white plains road 3740 , NY, US"
40400976,IRISH PUNT,Irish,"exchange place 40 , NY, US"
50034061,DI DI RESTAURANT,Chinese,"nostrand ave 2318 , NY, US"
50046634,A GUSTO,Caf̩/Coffee/Tea,"fulton st 1450 , NY, US"
40423830,CHAMPION BAKERY,Hawaiian,"white plains road 3978 , NY, US"
50011133,RED MANGO,Other,"court st 123 , NY, US"
50045829,MAXWELL'S BAR & RESTAURANT,American,"5th ave 1325 , NY, US"
40402742,ISLAND CHATEAU,American,"west fingerboard road 900 , NY, US"
50047031,Twin Lin's Garden,Chinese,"4th ave 854 , NY, US"
50014406,MCDONALD'S,American,"hamilton ave 357 , NY, US"
41236577,FOOD IN MOTION,American,"sullivan street 214 , NY, US"
41512397,TWO GRANDPA'S PIZZA,Pizza/Italian,"grand concourse 1839 , NY, US"
41163308,LOS POLLITOS III,Mexican,"myrtle avenue 499 , NY, US"
40536591,PORTOBELLO CAFE,Italian,"hyland blvd. 4221 , NY, US"
41083343,GRIMALDI'S,Pizza/Italian,"front street 1 , NY, US"
41447856,WILD,Pizza,"hudson street 535 , NY, US"
41385081,KEFI,Greek,"columbus avenue 505 , NY, US"
41697769,L'APICIO,Italian,"east    1 street 11 , NY, US"
40398532,PAVILLION CATERERS,Jewish/Kosher,"39 street 1478 , NY, US"
40980449,72ND STREET BAGEL,Bagels/Pretzels,"west   72 street 130 , NY, US"
40945643,STARBUCKS,Caf̩/Coffee/Tea,"9 avenue 76 , NY, US"
40543458,DOMINO'S,Pizza,"broadway 4797 , NY, US"
50049077,VERONA WINE BAR,American,"van brunt st 253 , NY, US"
50012031,CASCABEL TAQUERIA,Mexican,"2nd ave 1556 , NY, US"
50008600,ST NICHOLAS FOOD,Spanish,"saint nicholas ave 285 , NY, US"
41569904,SWAGAT,Indian,"amsterdam avenue 411 , NY, US"
50001658,KOBEYAKI,Japanese,"west 40th street 110 , NY, US"
41691396,SAM'S,Pizza,"northern boulevard 8906 , NY, US"
41700219,COFFEE SHOP DELI,American,"cooper avenue 7925 , NY, US"
41682122,NEW CHUANG HING,Chinese,"hoyt street 48 , NY, US"
41142211,TELEPAN,American,"west 69 street 7274 , NY, US"
41578408,MO IL GELATO,"Ice Cream, Gelato, Yogurt, Ices","mulberry street 178 , NY, US"
40423450,BAGEL CORNER,Bagels/Pretzels,"west  235 street 581 , NY, US"
40995004,SUBWAY,Sandwiches,"west   58 street 314 , NY, US"
50051608,DUNKIN' DONUTS,Donuts,"kings plz 5100 , NY, US"
41315723,VARIETY CAFE,American,"broadway 65 , NY, US"
40367338,TAP ROOM,American,"central park south 180 , NY, US"
50017903,JACK'S WIFE FREDA,Mediterranean,"carmine st 50 , NY, US"
41601058,TAQUERIA DELI GROCERY,Mexican,"bath avenue 1738 , NY, US"
41607795,HO'BRAH,Mexican,"3 avenue 8618 , NY, US"
41480423,@NINE,Thai,"9 avenue 592 , NY, US"
41223838,UNCLE JACKS STEAKHOUSE,Steak,"bell boulevard 3940 , NY, US"
41084277,EAT A BAGEL (On the Guy V. Molinari Ferry),Bagels/Pretzels,"whitehall ferry terminal 0 , NY, US"
41630561,ANDIAMO CAFE,Spanish,"saint nicholas avenue 1326 , NY, US"
41539844,SAIGON MARKET,Vietnamese/Cambodian/Malaysia,"university place 9193 , NY, US"
50011679,ROOT & BONE,American,"e 3rd st 200 , NY, US"
50032777,SKYLINE DINER,American,"union tpke 27127 , NY, US"
50010072,WENDY'S,Hamburgers,"fresh pond rd 6111 , NY, US"
41153530,RED HOUSE KITCHEN,Chinese,"yellowstone boulevard 7147 , NY, US"
41570059,AAA KENNEDY FRIED CHICKEN,Chicken,"broadway 253 , NY, US"
50044852,BERLIN CURRYWURST,German,"9th ave 75 , NY, US"
40763160,YUMMY KITCHEN,Chinese,"31 avenue 9021 , NY, US"
50006410,KALINA RESTAURANT,Spanish,"broadway 1476 , NY, US"
50003300,PANDA CAFE,Asian,"broadway 8331 , NY, US"
40402231,THE TRIPLE CROWN,Irish,"7 avenue 330 , NY, US"
41265805,BLEND,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","vernon boulevard 4704 , NY, US"
50012418,JOE'S CRAB SHACK,Seafood,"baychester ave 200 , NY, US"
50017814,MAX'S DELI & COFFEE SHOP,Delicatessen,"atlantic ave 2623 , NY, US"
40545573,THE NEPTUNE DINER,American,"astoria boulevard 3105 , NY, US"
50017092,HE LIN RESTAURANT,Chinese,"broadway 8311 , NY, US"
40570878,ZEN 6,Japanese,"saint mark's place 31 , NY, US"
40944804,BLAGGARD'S PUB,Irish,"west   38 street 8 , NY, US"
40523865,POPEYES LOUISIANA KITCHEN,Chicken,"fredrick douglas boulevard 2730 , NY, US"
40511904,KITTY KIERNANS,Irish,"3 avenue 9717 , NY, US"
40942949,SNACK TAVERNA,Greek,"bedford street 63 , NY, US"
40940996,DOMINO'S,Pizza,"corona avenue 9045 , NY, US"
50043870,BURGER LODGE,American,"e 189th st 657 , NY, US"
41310578,EASTEND BAR & GRILL,American,"1 avenue 1664 , NY, US"
41062507,PEPERONCINO,Italian,"5 avenue 72 , NY, US"
50011926,BLACK IRON BURGER,Hamburgers,"w 38th st 245 , NY, US"
40716271,ROSARIO'S PIZZA,Pizza,"orchard street 173 , NY, US"
41392231,IVANA PIZZA,Pizza,"arthur avenue 2373 , NY, US"
40787908,KELLY'S TAVERN,American,"4 avenue 9259 , NY, US"
41705164,KAMI ASIAN/YUMMY THAI,Asian,"flatbush avenue 385 , NY, US"
50036253,NAAN SHACK,Indian,"olmstead ave 1445 , NY, US"
41080814,GOTTLIEB'S RESTAURANT,Jewish/Kosher,"roebling street 352 , NY, US"
41445447,SPICY BAMPA,Chinese,"18 avenue 6920 , NY, US"
50005628,NEW HOOD HING CHINESE RESTAURANT,Chinese,"underhill ave 198 , NY, US"
41575449,MIDNIGHT EXPRESS,American,"2 avenue 1715 , NY, US"
41657476,GREAT WALL CHINESE RESTAURANT,Chinese,"east new york avenue 1539 , NY, US"
41477434,LITTLE CAESARS,Pizza,"west mount eden avenue 4 , NY, US"
41696220,MCDONALD'S,American,"jamaica avenue 9101 , NY, US"
50040781,Chock full o' Nuts,Caf̩/Coffee/Tea,"avenue j 1508 , NY, US"
41135075,FUEL,American,"sheepshead bay rd 1715 , NY, US"
40894025,ANNIE'S KITCHEN,Chinese,"main street 7224 , NY, US"
41504220,LE PAIN QUOTIDIEN,French,"6 avenue 1271 , NY, US"
50006392,SUSHI & NOODLES,Japanese,"troutman st 274 , NY, US"
41524734,UMI JAPANESE RESTAURANT  SUSHI BAR & TERIYAKI GRILL,Japanese,"metropolitan avenue 9605 , NY, US"
41602841,SABOR COLOMBIANO CAFE RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","queens boulevard 8616 , NY, US"
40677704,PEPE GIALLO,Italian,"10 avenue 253 , NY, US"
41100265,ROGNER CAFE & LOUNGE,American,"forest avenue 6359 , NY, US"
41614718,LITTLE ITALY PIZZA/PAPAYA DOG,Pizza/Italian,"east   33 street 2 , NY, US"
41463483,DUNKIN' DONUTS,Donuts,"rossville avenue 655 , NY, US"
50018784,SAWASDE THAI COOKING,Thai,"mcdonald ave 359 , NY, US"
40915251,ACOSTA RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","amsterdam avenue 934 , NY, US"
50047647,KAMI SUSHI,Japanese,"flatbush ave 383-385 , NY, US"
41480048,CENTURY SUPER BUFFET,Chinese,"hillside avenue 2201218 , NY, US"
41165623,PIZZA MERCATO,Pizza,"waverly place 11 , NY, US"
40603807,JOSHUA TREE,American,"3 avenue 513 , NY, US"
40391417,THE BEEKMAN,Irish,"beekman street 15 , NY, US"
41116011,CAFE PLAZA DELI,American,"broadway 11 , NY, US"
50044768,CROWN FRIED CHICKEN,Chicken,"rockaway blvd 13105 , NY, US"
40384662,J & R PIZZA,Pizza,"kings highway 1916 , NY, US"
50018622,NEW STAR SEAFOOD RESTAURANT,Chinese,"8th ave 6022 , NY, US"
41708980,TASTE OF BENGAL,Bangladeshi,"31 street 2827 , NY, US"
40395218,WINCHESTERS PUB,American,"hillside avenue 23312 , NY, US"
41429773,MI PALENQUE,Mexican,"brook avenue 524 , NY, US"
50000401,PEKING EXPRESS,Chinese,"nassau ave 237 , NY, US"
41388342,EL REY,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","hillside avenue 14713 , NY, US"
41699158,INDIAN CURRY EXPRESS,Indian,"jamaica avenue 13204 , NY, US"
41596557,ITALIAN PIZZA,Pizza,"morris avenue 904 , NY, US"
41693533,HOWONG RESTAURANT,Chinese,"bay parkway 6718 , NY, US"
41120361,DIABLO ROYALE,Mexican,"west 10 street 189 , NY, US"
41390137,SARABETH'S/LORD AND TAYLOR 6th FLOOR,Caf̩/Coffee/Tea,"5 avenue 424 , NY, US"
41478586,JJ'S COFFEE SHOP AND RESTAURANT FRITAILLE,Caribbean,"glenwood road 4021 , NY, US"
40736383,MCDONALD'S,Hamburgers,"mott avenue 2141 , NY, US"
41595614,HOMEMADE TAQUERIA,Mexican,"34 avenue 45-09 , NY, US"
41669938,MOLDOVA,Eastern European,"coney island avenue 1827 , NY, US"
40369940,THE NEW AMITY RESTAURANT,American,"madison avenue 1134 , NY, US"
40965048,UNCLE LOUIE G'S ITALIAN ICES & ICE CREAM,"Ice Cream, Gelato, Yogurt, Ices","avenue u 3138 , NY, US"
50003970,SING LOON ZHENG KITCHEN,Chinese,"white plains rd 3606 , NY, US"
41372373,HERB'N KITCHEN & LOBBY LOUNGE @ HILTON HOTEL,American,"avenue of the americas 1335 , NY, US"
50002380,Kurant,Armenian,"2nd ave 1091 , NY, US"
41266591,MCGARRY'S,American,"9 avenue 417 , NY, US"
41532380,JJ s ASIAN FUSION,Japanese,"31 avenue 3705 , NY, US"
41682021,GHOROA SWEETS & RESTAURANT,Bangladeshi,"mcdonald avenue 478 , NY, US"
41305781,ST JOHN'S UNIVERSITY MARILLAC HALL,American,"utopia parkway 8000 , NY, US"
40618714,WEBSTER CAFE,American,"webster avenue 2873 , NY, US"
40688834,SEGUINE BAGEL BAKERY,Delicatessen,"amboy road 5840 , NY, US"
41344566,MAY LUCK KITCHEN,Chinese,"jamaica avenue 14911 , NY, US"
40984099,HERALD SQUARE MARKET,American,"6 avenue 968 , NY, US"
41364122,CHECKERS,Hamburgers,"forest avenue 2270 , NY, US"
50040054,MOLO,Pizza,"bay st 987 , NY, US"
41577696,OLDE BROOKLYN BAGEL SHOPPE,American,"vanderbilt avenue 645 , NY, US"
41705967,TROPICAL GRILL RESTAURANT,Spanish,"7 avenue 1917 , NY, US"
50046316,SEAN'S BAR & KITCHEN,American,"w 48th st 42 , NY, US"
50002085,OASIS RESTAURANT,American,"queens blvd 4002 , NY, US"
50005586,EFFYS CAFE,Mediterranean,"w 96th st 104 , NY, US"
41182904,CAFE CON PAN BAKERY,Bakery,"5 avenue 5401 , NY, US"
50015204,HOOTERS,American,"w 33rd st 155 , NY, US"
50041388,HARPER'S BREAD HOUSE,Bakery,"grand st 271 , NY, US"
41691247,RAMINI ESPRESSO BAR,Caf̩/Coffee/Tea,"west   37 street 265 , NY, US"
41443815,DOWNTOWN GALWAY HOOKER,Irish,"7 avenue south 133 , NY, US"
41506985,EAST LAKE SEAFOOD RESTAURANT,Chinese,"prince street 3717 , NY, US"
41073979,CLOCK WORK,American,"essex street 21 , NY, US"
50000781,CAFE CON AMOR,Caf̩/Coffee/Tea,"roosevelt ave. 6416 , NY, US"
41635141,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Caribbean,"rockaway parkway 1430 , NY, US"
40738001,PIZZA BAGEL BURGER,American,"mc donald avenue 1117 , NY, US"
41666910,INFINITY BAR,Creole/Cajun,"white plains road 3848 , NY, US"
41711186,AMAZE,Japanese,"amsterdam avenue 466 , NY, US"
40673175,LACE,American,"7 avenue 725 , NY, US"
40385555,200 FIFTH AVENUE RESTAURANT & SPORTS BAR,American,"5 avenue 200 , NY, US"
40732501,TEQUILITAS MEXICAN RESTAURANT,Mexican,"4 avenue 5213 , NY, US"
41664553,THE NATIONAL,American,"east   50 street 125 , NY, US"
40733009,THE CAMPBELL APARTMENT - IN GRAND CENTRAL,American,"vanderbilt avenue 15 , NY, US"
50015991,SUPER TASTE,Chinese,"eldridge st 26 , NY, US"
40574474,MEZCALS RESTAURANT,Mexican,"5 avenue 223 , NY, US"
41346086,KEN'S ASIAN TASTE,Chinese,"bowery 40 , NY, US"
41316105,MAGNA BAR & RESTAURANT,Italian,"farrington street 3525 , NY, US"
50051698,LIGHTHOUSE OUTPOST,American,"mulberry st 241 , NY, US"
41431046,JOSEPH LEONARD,American,"waverly place 170 , NY, US"
41252980,EL SOL RESTAURANT,Peruvian,"northern boulevard 8707 , NY, US"
50007162,TINA  RESTAURANT,American,"washington ave 2350 , NY, US"
40803444,MANOR HOUSE RESTAURANT,Italian,"manor road 917 , NY, US"
40999052,ALLIGATOR LOUNGE,Pizza,"metropolitan avenue 600 , NY, US"
40394401,BAR SIX,French,"6 avenue 502 , NY, US"
41704391,NEW MANDARIN COURT,Chinese,"mott street 61 , NY, US"
40686672,PERKINS RESTAURANT & BAKERY,American,"hylan boulevard 1409 , NY, US"
41185333,SNACKY,Asian,"grand street 187 , NY, US"
41361603,ROOSEVELT SPORTS BAR,American,"roosevelt avenue 13345 , NY, US"
40577928,SUSHI OF GARI,Japanese,"east   78 street 402 , NY, US"
50035763,GOLDEN BAY RESTAURANT,Asian,"86th st 2144 , NY, US"
50016860,FORCELLA PIZZA NAPOLI,Italian,"lorimer st 485 , NY, US"
41436857,MCDONALD'S,Hamburgers,"ft hamilton parkway 3525 , NY, US"
41722677,GLADY'S,Caribbean,"franklin avenue 788 , NY, US"
41688851,VIA PONTE PIZZERIA,Pizza/Italian,"mcclean avenue 147 , NY, US"
40812946,TSUKUSHI RESTAURANT,Japanese,"east   41 street 300 , NY, US"
40889792,ETHOS GREEK CUISINE,Greek,"3 avenue 495 , NY, US"
41296556,ENOTECA ON COURT,Pizza/Italian,"court street 347 , NY, US"
41641339,SMILE TO GO,American,"howard street 22 , NY, US"
50005056,L'UNIQUE BAR & RESTAURANT,Caribbean,"nostrand ave 1773 , NY, US"
50002386,CHURCH STREET KITCHEN,American,"church street 178 , NY, US"
41623109,LUCID CAFE,Caf̩/Coffee/Tea,"woodside avenue 5902 , NY, US"
50010956,ROYAL QUEEN/THE REAL KTV,Chinese,"roosevelt ave 13620 , NY, US"
41289885,LA PRECIOSA CHINA RESTAURANT,Chinese,"east  116 street 163 , NY, US"
41685305,BONAO CHIMI RESTAURANT,Spanish,"jamaica avenue 7614 , NY, US"
40875888,CAFE ANGELIQUE,Caf̩/Coffee/Tea,"bleecker street 6870 , NY, US"
41563655,LA ESPIGA MEXICAN RESTAURANT,Mexican,"southern boulevard 558 , NY, US"
41121595,CARVEL ICE CREAM,"Ice Cream, Gelato, Yogurt, Ices","broadway 5759 , NY, US"
41660728,DUNKIN' DONUTS,Donuts,"atlantic avenue 625 , NY, US"
40381720,MISS LILY'S 7A,Caribbean,"avenue a 109 , NY, US"
50050236,HIGHWAY DELI & COFFEE SHOP,American,"173rd st 6111 , NY, US"
41463561,SOMTUM DER,Thai,"avenue a 85 , NY, US"
40720511,AMBROSINOS PIZZERIA,Pizza/Italian,"amboy road 3161 , NY, US"
41323665,CONEY ISLAND TASTE,Peruvian,"coney island avenue 2580 , NY, US"
41377511,CHELSEA THAI,Thai,"10 avenue 88 , NY, US"
41406985,CINEMART CINEMAS,American,"metropolitan avenue 10605 , NY, US"
50015282,BLUEBIRD FOOD & SPIRITS,American,"flatbush ave 504 , NY, US"
40389732,GIANDO,Italian,"kent avenue 412 , NY, US"
40909425,PUEBLA SEAFOOD,Mexican,"roosevelt avenue 9527 , NY, US"
41640556,COVE LOUNGE,American,"lenox avenue 325 , NY, US"
41515837,MEXI BBQ KITCHEN & DROUGHT,Mexican,"30 avenue 371113 , NY, US"
41177358,S'MAC,American,"east   12 street 345 , NY, US"
41704110,MI CASA BAKERY & COFFEE SHOP,Bakery,"grand concourse 2031 , NY, US"
50014571,CAFE ROCKAWAY'S,American,"beach channel dr 4901 , NY, US"
40546257,STARBUCKS,Caf̩/Coffee/Tea,"greenwich avenue 93 , NY, US"
50001471,ROY'S RESTAURNT & BAR,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","east tremont ave 880 , NY, US"
41700342,BUBBLE CREPE,Caf̩/Coffee/Tea,"austin street 7023 , NY, US"
41604438,MOLLY'S CUPCAKES,Bakery,"bleecker street 228 , NY, US"
40585345,SUSHIYA JAPANESE RESTAURANT,Japanese,"west   56 street 28 , NY, US"
41677644,AUDREY'S CONCERTO,Caf̩/Coffee/Tea,"86 street 2379 , NY, US"
41721739,Kennedy Fried Chicken,American,"hollis avenue 20529 , NY, US"
41393715,YUM YUM TOO,Thai,"9 avenue 662 , NY, US"
50033734,HONG KONG NOODLES,Chinese/Japanese,"lexington ave 174 , NY, US"
50036819,LOVE CAFE AND BAR,Eastern European,"2nd ave 430 , NY, US"
41405086,REYNA RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","university avenue 1969 , NY, US"
41450562,MATISSE,French,"2 avenue 924 , NY, US"
50007345,NAVY,American,"sullivan st 137 , NY, US"
41615509,SUBWAY,Sandwiches/Salads/Mixed Buffet,"west   37 street 107 , NY, US"
41308105,EMILIO'S PIZZA,Pizza,"west kingsridge road 80 , NY, US"
50018049,COMBITE CREOLE,Creole,"nostrand ave 1728 , NY, US"
41399682,NEW CHINATOWN RESTAURANT,Chinese,"bronxwood avenue 3955 , NY, US"
41019523,GRILL POINT,Jewish/Kosher,"main street 6954 , NY, US"
41567175,PUMPERNICKEL BAGEL,Delicatessen,"44 drive 2310 , NY, US"
40385584,PIZZA GARDEN,Pizza,"northern boulevard 17101 , NY, US"
41160375,CAPIZZI,Italian,"hylan boulevard 4126 , NY, US"
50016151,UPPER STORY BY CHARLIE PALMER,American,"3rd ave 979 , NY, US"
40825993,TRINIDAD GOLDEN PLACE,Caribbean,"nostrand avenue 788 , NY, US"
50003958,SOOM SOOM,Vegetarian,"lexington ave 672 , NY, US"
40401422,BROADWAY DIVE,American,"broadway 2662 , NY, US"
50039611,BURGER MEXICANO,Mexican,"flatbush ave 545 , NY, US"
50036175,CAFE & RESTAURANT,Spanish,"ridgewood ave 551 , NY, US"
40917772,BUCKLEY'S BAR & RESTAURANT,American,"avenue s 2926 , NY, US"
41611968,LEXINGTON BRASS,American,"lexington avenue 517 , NY, US"
50005634,BENTON CAFE,Asian,"william st 123 , NY, US"
50038153,PIZZA BOY,Italian,"woodside ave 5819 , NY, US"
40389710,TIJUANA TACOS BARANDGRILL,Mexican,"east   53 street 330 , NY, US"
50001761,GOOD CENTURY CAFE,Chinese,"grand street 243 , NY, US"
41644027,THE KATI ROLL COMPANY,Indian,"east   53 street 229 , NY, US"
41628709,SUBWAY,Sandwiches,"metro tech center 4 , NY, US"
41225880,BENNY'S PIZZA RESTAURANT,American,"hillside avenue 17563 , NY, US"
50042067,MALII,Thai,"2nd ave 2028 , NY, US"
40651300,ELIA,Greek,"3 avenue 8611 , NY, US"
41358592,ZERO OTTO NOVE TRATTORIA,Italian,"arthur avenue 2357 , NY, US"
40400810,THE SCRATCHER CAFE,Irish,"east    5 street 209 , NY, US"
41496435,PAPAYA KING,Hotdogs,"east   86 street 179 , NY, US"
50008918,HAHM JI BACH,Korean,"149th pl 4011 , NY, US"
40550765,ARETSKY'S PATROON,American,"east   46 street 158160 , NY, US"
41038561,MENDY'S,Jewish/Kosher,"east   42 street 109 , NY, US"
41528051,THE BAILEY,American,"william street 52 , NY, US"
50012473,CROWN FRIED CHICKEN,Chicken,"tompkins ave 92 , NY, US"
41504624,THE ORIGINAL SOUPMAN,Soups,"west   55 street 259 , NY, US"
41579022,BIRRERIA (EATALY),Italian,"5 avenue 200 , NY, US"
41294692,J & J HOT FOOD AND SALAD,Delicatessen,"fort hamilton parkway 4916 , NY, US"
